Unnamed: 0,orig_premise,orig_hypothesis,gen_premise,gen_hypothesis,pred_orig_labels,pred_gen_premise_labels,pred_gen_hypothesis_labels,distance_premise,distance_hypothesis,perplexity_gen_hypothesis,perplexity_gen_premise,diff_premise_probs,diff_hypothesis_probs
113,a lit girl splashes around in natural water.,a girl splashes in water.,a human person splashes around in the water.,[CLS] shark splashes in water.,1,2,0,3,4,217.8887481689453,71.98112487792969,0.9804199924692512,0.9993641603505239
114,a boy is riding down the road between two cows.,"a boy, a road and two cows.",a sign is placed on the ground between two wings.,"[CLS] boy, a camel and two cows.",1,0,2,5,4,115.35919952392578,125.30012512207031,0.9973739609122276,0.9275252968072891
115,a group of attentive students are paying attention to a college lecture.,some students are attending a class.,a number of attentive people are paying attention to a red rug.,##2 students are attending a church.,1,2,0,4,4,113.53324890136719,99.24360656738281,0.8845062553882599,0.9988257854129188
116,a man laughing while at a restaurant.,a man laughing.,a man smelling while at a restaurant.,[CLS] man dying.,1,0,0,1,4,199.11830139160156,193.08172607421875,0.9980835681781173,0.9987686639651656
117,a woman wearing a yellow tank top and white pants looking into a window on a city street.,a woman wearing a tank top and pants looks through some glass.,a person wearing a red crop top and white pants looks shoot a block on a city street.,[CLS] woman wearing a tank top and pants looks through her pockets.,1,0,0,6,5,42.157745361328125,64.77796936035156,0.9901925147860311,0.9967710198252462
118,"a crowd of people in a stadium decked out in white, yellow and green cheer and clap for the team below.",a crwod is cheering,"a number of people in a stadium steeped up in white, yellow and green hedges and waiting for the team below.",[CLS] perfectly candid is now,1,2,0,5,6,79.13568115234375,193.45513916015625,0.747666391544044,0.9906619026878616
119,"two sweet young girls on ice skates, hands up and holding on to each other get ready to begin their performance on the ice.",two females holding each other.,"two very young passengers on ice skates, holding up and holding on to each other while ready to begin their life on the ice.",##s lies kissing each other.,1,2,0,5,5,93.7705307006836,46.616085052490234,0.9675682000815868,0.9974685017950833
120,a man in a short mohawk and beard.,a man with a short mohawk and beard stands outside.,a man in a bar dress and affection.,the man in a long mohawk and beard lives outside.,2,0,0,3,4,24.664840698242188,99.5230712890625,0.9947146056219935,0.9773563025519252
121,a woman in a pink top is holding a glass bottle in one hand and a stitch doll in the other.,the top is pink,a man in a cage top hat holding a wine bottle in one hand and a jewel bottle in the other.,[CLS] top is tanned,1,0,2,6,4,45.15625,36.106712341308594,0.5055664672981948,0.9392525567673147
122,a girl in a black skirt and blue dress is watering flowers.,the girl is giving the flowers some water.,a girl in a white dress and red dress is eating candles.,@ cat is picking the flowers before them.,1,0,0,5,5,142.92742919921875,62.74342727661133,0.9926345339044929,0.99169587995857
123,a pro - baseball pitcher sends a curve ball to his opponent while many fans relax and enjoy the game.,a pitcher is playing baseball at a stadium,a statue - trough pitcher sells a combat ball to his opponent. many are smiling and enjoy the game.,[CLS] pitcher is not baseball at a slam,1,2,0,7,5,176.39927673339844,220.22389221191406,0.1776142418384552,0.9965031070751138
124,one confused man is standing and staring off into the distance in front of some ticket collecting machines.,the man is confused.,one masked man is standing and staring out into the distance in front of a mirror sales machines.,[CLS] man is dying.,1,2,0,5,4,127.38077545166016,75.01395416259766,0.9908117260783911,0.6760830046841875
125,several men in black t - shirts and caps are using with metal rods to smash food that's lying on a round table with a hole in the center.,men using metal rods,"the men in black boots, cables and jackets are worn with matching rods to catch food that's located on a pool table with a hole in the center.",[CLS] using platinum bible,1,2,0,10,5,140.7831573486328,115.56736755371094,0.9399830251932144,0.9912362666800618
126,a group of people sitting and knitting.,people are sitting.,a group of people are and walking.,darts are required.,1,0,0,2,2,198.71421813964844,181.46688842773438,0.9965424549009185,0.995560468378244
127,an older man sifts water through his fingers as a young toddler watches from inside the water.,a man is near a toddler,"an old man earned hails clouds through his body, a sign nutler watches from inside the home.",[CLS] man is killed a redwoodler,1,2,0,9,5,240.3999786376953,457.21295166015625,0.6298045217990875,0.9963775816140696
128,"while traveling, a woman in a black jacket is resting on the shoulder of a man in a black jacket.",a woman rests on the shoulder of a man,"while dancing, a woman in a black jacket is hurled on the shoulder of a man with a black jacket.",[CLS] woman drown on the shoulder of a man,1,0,0,3,4,38.506072998046875,31.861072540283203,0.9828073873650283,0.9745299711357802
129,"a small, pale bird bends down to examine a crumb.",the bird is on the ground.,"a small, hooked bird leans down to middle a crestan.",[CLS] bird is on the flight.,2,0,0,4,4,124.39417266845703,241.07691955566406,0.6020945906639099,0.75722336769104
130,a man riding a motorcycle on a dirt road passing several junk or abandoned cars on the side of the road.,a man is riding a motorcyle.,a man driven a car on a busy road passes several abandoned or abandoned cars on the side of the road.,"[CLS] man, riding a dunlop motorcycle bicycle.",1,0,0,5,7,65.35405731201172,29.912397384643555,0.9970103858504444,0.9628097771201283
131,a skier is heading into a grove of trees.,there is snow on the ground in this picture.,the suit is etched into a pool of flowers.,there is mud underneath the ground in the moonlight.,1,0,2,5,4,65.97405242919922,63.01750946044922,0.9960608731489629,0.6292782686650753
132,two women bend over to touch a small kangaroo.,two women are petting a kangaroo,the men heads up to touch a large stream.,the women are gutting a kangaroo,2,0,0,6,2,57.35265350341797,131.35003662109375,0.9973998013883829,0.7769226972013712
133,a man with thinning hair looking into glasses through glasses.,a man with thinning hair.,a girl with thin new hair transitioned into venus in this.,[CLS] man with thin blue hair.,1,0,2,7,5,108.80933380126953,301.27459716796875,0.9984095658874139,0.9781500343233347
134,a kid dressed in a long - sleeve shirt with a jersey numbered 11 is passing a bar to a boy in a jersey numbered 12 during a relay race.,a team of youths race to finish first in a relay race on a beach.,a boy dressed in a long black plaid shirt with a matching numbered 11 is passing the bar to a boy in a jersey numbered 11 during a relay race.,[CLS] group of students race to finish first in a relay race on the beach.,2,2,2,6,6,74.0353775024414,58.09402084350586,-0.0009091496467590332,-0.006426751613616943
135,a man is riding a bicycle in the street.,a bicycle is being ridden,a photograph is just a bicycle in the house.,a woman is being chased,1,0,0,3,2,26.063627243041992,77.52391052246094,0.8363217829610221,0.9979487775708549
136,a woman with a pink purse walks down a crowded sidewalk.,a woman walks through a crowd,a man with a pink dress sits on a green sidewalk.,[CLS] woman walks through a flat,1,0,0,5,4,118.1995849609375,47.60712814331055,0.998881028033793,0.998525426723063
137,"a large number of people are watching men dressed in kilts, one of whom has thrown a long pole.",people watch men in kilts,"a large number of animals are useful, dressed in camouflagelts, one of whom has been a dress pole.",guerrillas watch men in kilts,1,0,2,6,1,59.440948486328125,228.24813842773438,0.9967486345267389,0.991067080758512
138,"two babies, one in red, asleep in their highchairs.",babies are asleep,"two guards, one in each, glow in their high shiners.",[CLS] are pink,1,0,0,5,4,182.17669677734375,310.7873840332031,0.9984889661427587,0.9724299942608923
139,some folks pick out the food they want at a party.,the party - goers are perusing the buffet.,some friends give them the tasks they want at a party.,[CLS] party - goers are hauntedsing the bible.,2,2,2,4,5,398.1346435546875,136.32034301757812,0.40252232551574707,0.15276837348937988
140,a small dog runs to catch a ball.,a little dog chases a ball.,a little person born to throw a ball.,[CLS] small dog whispering a ball.,1,0,0,4,5,172.0679931640625,58.89412307739258,0.9884887533844449,0.9811595874489285
141,a white and black spotted dog is running through a grassy area.,a dog is outdoors.,a white and cream chin dog is styled with a triangle area.,a dog is hunting.,1,2,2,5,1,76.4014663696289,339.6907958984375,0.9040814973413944,0.9595976807177067
142,the black woman is laying out literature.,a black woman is handling printed material.,the black emperor is inside out poison.,[CLS] black woman is collecting lesbian material.,1,0,2,3,5,249.98666381835938,779.3629150390625,0.984774629221647,0.9929638747125864
143,island native fishermen reeling in their nets after a long day's work.,the men are finishing their day of work.,"the shuttle weaving slowly in the bushes with a long day's work,",[CLS] children are veterans their day of birth.,1,2,0,8,6,277.3747863769531,84.7313003540039,0.8273317590355873,0.7936483793891966
144,a dog jumps over the pole.,dog is jumping over a pole,a scene occurs over the end.,marines is jumping over a pole,1,2,0,3,1,164.3440399169922,389.784423828125,0.47149136662483215,0.9720452285837382
145,a man running in a race passes by spectators.,a man is running by people who are watching.,a man running in a car passes by trees.,[CLS] man is caught by people who are kneeling.,1,2,0,2,5,166.0552215576172,71.05074310302734,0.9811354540288448,0.994445979129523
146,a man talks to two guards as he holds a drink.,the prisoner is talking to two guards in the prison cafeteria.,a man oblivious to two snakes who he holds a gun.,the beast is talking to the guards in the prison maze.,2,0,0,4,3,67.7353744506836,131.45448303222656,0.9784416537731886,0.9782195668667555
147,a woman with a black purse and a red coat is sitting on a pillar of concrete.,the woman is waiting for her boyfriend at the local bus stop.,a girl with a red dress and a red roof is sitting on a stack of fire.,[CLS] woman is fighting for her boyfriend in the open machine room.,2,0,0,6,8,80.45086669921875,35.702171325683594,0.992598463781178,0.9977832930162549
148,"one man wearing a pink and blue striped shirt, work gloves, and holding a yellow hard hat.",a tall person in a shirt,"one man wearing a pink and white striped shirt, denim parody, and holding a black mini hat.",a cleaned person in a room,2,2,0,5,2,80.402587890625,83.63353729248047,-0.001841902732849121,0.9903944361722097
149,a barber in a sports themed barber shop waits for his next customer to arrive.,a barber in a sports shop waits eagerly for business.,a barber in a french themed barber shop waits for his work ready to visit.,[CLS] sailor in a sports car waits anxiously for business.,2,0,0,4,6,77.8355712890625,87.30364990234375,0.9614194687455893,0.9927009399980307
150,"boy in backpack crossing the street, other people, all asian, are all in crosswalk walking towards the boy.",the boy is on his way home from school.,"boy in action into the crowd, other people, and warriors, are all in bar brawls towards the boy.",[CLS] boy is on his yacht home in school.,2,0,0,7,5,187.69334411621094,67.5418930053711,0.9865354211069643,0.9985404522158206
151,the cyclist rides on a wooded path.,the cyclist rides with a companion on a wooded path,the gang rides on a wooded path.,[CLS] cyclist rides with a vehicle on a wheeled surface,2,0,1,1,6,100.4094009399414,63.27471160888672,0.9047882220475003,0.9747201278805733
152,a woman working in the storefront of a jewelry shop fixing the display shelf.,the woman is dreaming of a modeling career while working in the jewelry shop.,a woman working in the backroom of a printing shop serves the mail service.,[CLS] woman is dreaming of a hollywood drug while working in the jewelry shop.,2,0,0,5,5,98.63816833496094,64.74906921386719,0.5740631520748138,0.5702135264873505
153,two people play horseshoes.,tom and sue were playing outside.,twosome play ashores.,pete and mike are playing chess.,2,1,0,3,4,83.71328735351562,900.9056396484375,0.5152228772640228,0.9940625536255538
154,two adult men in black t - shirt and loud tunics hold smoking torches in preparation for an act of entertainment or celebration in a forested environment.,two brothers hold torches to celebrate.,two fathers twin in black leather dress shirt and white tunics wear dance candles in preparation for their act of entertainment and celebration in a religious environment.,##ural mortals hold torches to display.,2,1,0,11,5,291.3880615234375,164.4327850341797,0.8239365139743313,0.9409742899588309
155,several adults look on while a young girl plays in a ball pit.,a young girl is having fun.,the scarcely thrive on while a young girl like in a ball game.,[CLS] young girl is available sport.,2,1,1,5,5,126.67530059814453,178.48353576660156,0.7146034985780716,0.7916873842477798
156,a girl climbing a chain link fence.,the girl climbs the fence to get to school.,a girl broke a chain link fence.,[CLS] girl climbs the wall to her to infinity.,2,0,0,1,6,149.3944854736328,49.270240783691406,0.9974953350611031,0.9912301716394722
157,a man biking down a tunnel.,a man is winning a bike race.,a man jogging in a tunnel.,[CLS] man is pulling a horse carriage.,2,0,0,2,6,197.66720581054688,59.469154357910156,0.9937691679224372,0.9935535779222846
158,"a smiling man with gray hair and glasses, dressed in black, is sitting in a chair with a music stand in front of him.",this man has an eyesight deficiency.,"a fluorescent man with sharp hair and glasses, dressed in dread, is sitting on a chair with a fruit stand in front of him.",intact man has an expression and beak.,2,1,0,5,4,39.99985885620117,46.88591384887695,0.9082323145121336,0.6769104599952698
159,three children are shooting guns in the woods.,three children are shooting a deer.,three soldiers are hiding pigs in the woods.,three children are shooting a basket.,2,0,0,3,1,101.5510482788086,136.00460815429688,0.9961144016124308,0.9945248053409159
160,four people wearing backpacks walking in a line along a mountain trail.,four people are walking along a mountain trail trying to get down before the storm.,six people finishing commuters walking through the disturbance along a surfing trail.,ninety people are walking along a mountain path appear to get down any the mountain.,2,0,0,7,5,123.62445068359375,163.7187957763672,0.9958725142059848,0.9992289709625766
161,several people talk and drink beer while sitting around a picnic table.,several friends talk and drink beer while sitting around a picnic table.,college members talk and drink cheese while sitting around a dining table.,independent organisms speak and drink beer while sitting around a picnic table.,2,0,1,4,3,44.32786560058594,67.81889343261719,0.9952199668623507,0.8451465647667646
162,a smiling girl slides down a purple slide feet first.,a girl happily uses the equipment at a playground.,a elliott girl strips down a sunset playground stadium alone.,[CLS] girl remotely resembling the bandwidth at a playground.,1,0,1,6,6,494.9764709472656,458.25146484375,0.6410123470705003,0.4252229332923889
163,a man in a purple and blue shirt and shorts is getting ready to hit a golf ball.,a man is on a golf course.,a man in a gray and blue shirt and shorts is getting ready to hit a breaking ball.,[CLS] man is on a dance board.,2,0,0,2,5,53.54725646972656,32.62929916381836,0.9957627870608121,0.9976048090029508
164,a man is performing for a group in front of a white house.,the man performed in front of his own house.,a man condemned performing for a slave in front of a white house.,brute man performed in front of four green house.,2,0,0,2,3,118.77769470214844,63.39185333251953,0.917256198823452,0.9210176691412926
165,a young man is playing a blue guitar.,a musician practices on his guitar briefly before a concert.,"a young man, playing a trick ball.",[CLS] musician spit on his guitar unconscious before a concert.,2,0,0,3,5,184.2155303955078,110.9463119506836,0.9991471205139533,0.9987865124130622
166,two men help each other cut a sheet of plastic.,two friends help each other by cutting some plastic.,two cousins volunteers each other cut a pound of plastic.,these humans help each other with cutting the cloth.,2,1,1,3,5,62.01031494140625,176.66273498535156,0.9260329194366932,0.9403051324188709
167,an old man in a blue shirt and white pants glowers by a glass door.,a man resting outside,the old man in a white jacket and white pants halters in a roadside driveway.,[CLS] man oxygen mechanically,2,1,0,7,5,185.9638214111328,129.26025390625,0.48454928398132324,0.7046869955956936
168,"a little girl drawing with chalk, on a chalkboard.",a little girl is drawing on the board during class.,"a young girl grading with sixteen, on a chalkboard.",[CLS] little girl is burning on the floor during class.,2,1,0,3,5,89.0224609375,78.71736145019531,0.46984570287168026,0.9996488422621042
169,a wet golden retriever is walking through a lake,a wet golden retriever is walking through a lake to find a ball.,a ball sport retriever is sitting through a bat,"[CLS] clear "" retriever is seen through a lake. getting a splash.",2,0,1,4,9,232.54446411132812,125.87303161621094,0.9975383675191551,0.88726922305068
170,a woman is sitting down doing some sort of craft work while another person operates a large wooden loom device in the background.,the woman sitting is asian.,"a hen is sitting down in some sort of montana, while the man notices a large reindeer loom flags in the background.",[CLS] woman sitting is destruction.,2,0,0,9,4,138.1891326904297,111.242431640625,0.9570714312139899,0.9944697099272162
171,people in chairs around a table,the people are eating dinner.,are in dinner after a sixteenth,[CLS] people are offered seating.,2,1,1,4,5,304.98004150390625,287.94921875,0.9724580701440573,0.9840283449739218
172,a performer plays an instrument for the audience.,the performer is making music.,a performer plays the instrument for the audience.,[CLS] performer is providing music.,1,1,1,1,4,127.83470153808594,73.37181854248047,0.0009864568710327148,0.0031696557998657227
173,a group of people wait to cross the street in new york,some of the people are wearing sunglasses.,in typical of people fangs to cross the street in new york,many of the people are on mars.,2,0,0,3,3,94.6949462890625,156.02047729492188,0.7256267314078286,0.9981113319518045
174,"two distinguished older gentlemen stand outside a house, trees in background, both with white hair, the taller man having his arm about the other man's shoulder as they face the camera from behind their corrective lenses.",the older men are colleagues.,"mature years seamen fellows stand outside the house, pale in white, covered with white hair, the outstretched man'his arm around the other man's shoulder. they face the camera from behind their corrective lenses.",molded deaf men are depicted.,2,1,0,14,3,129.99517822265625,135.62904357910156,0.6220487778773531,0.9971787965041585
175,a young woman dressed in black attaches bags full of flowers to a bicycle.,the flowers are lilacs.,a young woman dressed in black chops bags full of sugar to a rainbow.,[CLS] flowers are galactic clouds.,2,0,0,3,5,171.74729919433594,179.4864501953125,0.9914125088835135,0.9983180050039664
176,"a man stands on a dock near several boats, while 2 other men are on one of the boats.",a man with brown hair is standing on a dock.,"a man lies on a sail in some boats, while the other men are on one of the boats.",a man with zombie hair is found on a dock.,2,0,0,5,2,45.81553268432617,33.33643341064453,0.9925274241250008,0.9990610468667
177,a bird is perched on a line of some sort attached to a pole.,a bird is wallowing on a pole.,the bird is roared on a line of some sortvation to a pole.,[CLS] bird is comparatively miraculous on a pole.,2,0,1,4,5,90.27168273925781,156.6280059814453,0.4850195487961173,0.977860463783145
178,a person is on a four wheeler kicking up a lot of dirt in a dune.,the person is in a race.,a person is in a team chasing rounding up a lot of ground in a leisure.,[CLS] person is in a vehicle.,2,1,1,6,4,77.93733215332031,135.1580810546875,0.9041492484975606,0.9902414821553975
179,"a man wearing an oxford shirt, sunglasses, and a hat smirks.",a man hiding his true identity.,"a man wearing an equal shirt, hat, and a hat commendations.",[CLS] man retains his true likeness.,2,0,1,3,5,86.01261901855469,86.3320083618164,0.9674577116966248,0.9805909572169185
180,a group of people gathered at night watching an event.,a group of humans are looking at the same direction.,a group of people gathered at night watching an event.,[CLS] group of humans are looking at the same area.,1,1,1,0,4,80.53047180175781,52.71364212036133,0.0,0.000779271125793457
181,a man in a suit cheering in a library in front of children.,a lawyer is encouraging some children at a contest.,a man in a dress naked in a circus in front of children.,[CLS] chance is holding some children at a bar.,2,0,0,3,6,127.90007019042969,103.0660171508789,0.9807610772550106,0.9799582026898861
182,security officer working outside.,a security officer is dressed in a uniform.,valet lashed stationed outside.,[CLS] security officer is available in a demeanor.,2,0,1,3,5,336.2217712402344,632.0523681640625,0.6316473903716542,0.9579522758722305
183,a man in a white and gray shirt looks on as a shirtless man with a mustache cleans fish on a pale green table.,the man is cleaning the fish that he caught so he can cook it.,a man in a white and blue suit looks out as a shirtless man with a paper tee and gloves on a dark blue shirt.,[CLS] man is eating the palm that he eats so he can bite it.,2,0,0,10,7,67.39576721191406,49.71405792236328,0.9967275127128232,0.999002323980676
184,a young couple and many others out enjoying themselves at an outdoor street event.,the young couple are looking at goods being sold by the street vendors.,a young couple and many others outcast themselves at an outdoor celebration party.,[CLS] young couple are looking at merchandise being sold by the target museum.,2,0,0,4,6,151.5974578857422,85.94591522216797,0.9455330967903137,0.9428859949111938
185,construction workers use cables to hang from the sides of buildings.,construction workers are brave.,construction workers use slacks to argue on the sides of ministers.,[CLS] workers are free and,2,0,0,4,5,130.755126953125,216.6358184814453,0.9157650209963322,0.9554335810244083
186,a dark - haired man in a black uniform is speaking to a man wearing a black jacket and black helmet on a motorbike.,a man in a police uniform is talking to another man.,a neon red hooded man in a dress shop is attracted to a man in a black jacket and black jeans on a motorbi motorcycle.,elephant man in a refrigerator box is talking to another man.,2,0,0,10,3,56.02378845214844,41.289222717285156,0.9848155872896314,0.9852791922166944
187,a woman wearing a red coat stands on a wood floor in front of several paintings while two girls sit on the floor at her feet.,woman takes a break at a museum while her children sit by her feet.,a woman in a red coat stands on a rests floor in front of rent underground while two boys sit on the floor at her former.,underneath takes a bed beneath a window while her children sit by her feet.,2,1,0,6,4,54.08656311035156,93.67265319824219,0.8669957141391933,0.9940375471487641
188,a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.,a climber pulls himself up 5000 feet up over a forest,a climber wearing a black armband is pushing himself up on of rabbit high above some green grass.,a climber hangs himself up fifteen feet unmanned over a wall,0,0,0,7,4,145.3682861328125,85.26658630371094,0.018398523330688477,0.02083498239517212
189,a woman is walking her dog along a snowy ground.,a woman is trying to get her dog to go to the bathroom after it has freshly snowed.,the worker is running the dog through a haunted area.,[CLS] woman is told to get pregnant enough to go to the toilet after it has been vomited.,2,0,0,7,9,92.76184844970703,57.43004608154297,0.9890437012072653,0.9991437678691
190,a boy in a blue uniform is standing next to a boy in red and a boy in yellow and they are holding baseball gloves.,three boys are preparing for their big game that is about to start.,a fundraiser in a yellow shirt is entertaining on to a boy in red and a boy in blue and they are waiting ncaa giant.,barren farmers are famous for their fun game that is about to start.,2,1,0,9,4,53.16735076904297,98.0101089477539,0.928986401995644,0.9985160834039561
191,"while two students are jumping, others in a classroom are sitting or standing.",two students disrupting class.,"while two freshmen are surged, those in a coach are attacked or standing.",eligible students cushioning a.,2,1,1,5,4,274.31243896484375,899.5243530273438,0.8624997707083821,0.8171160789206624
192,a man alone crosscountry skis in the wilderness while wearing a huge backpack.,a man skis in the wilderness while it's snowing,a man rarely crosscountry bleeds in the rain while wearing a special backpack.,[CLS] man glides in the wilderness while it's terrestrial behavior,2,0,1,4,6,190.22084045410156,119.15379333496094,0.9991391357034445,0.9655423182994127
193,a well dressed elderly woman standing in front of a bus decorated with images of purple flowers.,a grandmother is standing in front of a bus with violets decorated all over it.,a well cast grandma ellie stands in front of a bus draped with heads of roosevelt reds.,[CLS] greyish is standing in front of a bus with existences from all over it.,2,1,0,8,6,60.76762008666992,64.14601135253906,0.7840695846825838,0.9862480505835265
194,two girls kissing a man with a black shirt and brown hair on the cheeks.,two girls kiss there dad.,two locomotives ripe a father with a white shirt and black tie on the shoulders.,"autonomous girls, there are.",2,0,1,7,3,159.5686798095703,215.16201782226562,0.9821009812876582,0.47932353615760803
195,a large man is sitting in front of a fountain statue while talking on a phone.,the fountain has running water.,a young pedestrian is shown in front of a fountain charge while talking to a chair.,[CLS] rooftop has inorganic water.,2,1,1,6,5,106.45848846435547,102.45973205566406,0.5632185935974121,0.3125215172767639
196,a man puts his hands up while telling an amusing story to his friend with a beard.,the man is perplexed by the events.,"the man puts his hands together, offering a humane lesson to his strengths with a victory.",[CLS] man is only dogged by the silence.,2,0,0,9,6,101.3695297241211,101.8846435546875,0.8931415677070618,0.9046520590782166
197,a man with a tattoo on his arm staring to the side with vehicles and buildings behind him.,a man has dragon tattoos on his arm.,a man with a rug on his head staring to the ground with superman and circles behind him.,a man has cellular colour on his arm.,2,0,1,5,2,70.26197052001953,77.81063079833984,0.9755638671340421,0.9962049144087359
198,"a man wearing dark knee boots, a green cape, and a hat with two big feathers on the front is sitting by himself on a bench in front of a building with a blue and white patterned piece of wheeled luggage to his right while he rests both his hands on a walking stick.",a man sits by himself at mardi gras.,"a man wearing black knee coat, a liberty hat, and a hat with two biggles on the shoulder is sitting by himself on a table in front of a gypsy with a blue and white bent piece of scrap cloth on his head. he holds both his hands on a live train.",a man stands by flicking at mardi maximas.,2,0,0,18,3,52.588741302490234,41.702613830566406,0.9450411535799503,0.9577547051012516
199,a crowd of people in winter garb gather in the street against a backdrop of bare trees and snow.,it is cold and snowy outside.,a crowd of people in cold winter evenings twice in the woods against a backdrop of rotting trees and snow.,colour is spacious and light throughout.,1,1,0,5,4,93.29843139648438,59.101993560791016,0.32027333974838257,0.9597271183738485
200,an asian man walks a three - wheeled pedal card fully of white bags.,an asian man walks a three - wheeled pedal card fully of white bags and he can be seen leaving the store.,an asian man shoot a three - wheeled tanaka card out of asian knives.,another asian man walks a three - wheeled pedal card fully of white bags and he can be seen in alien skeletons.,2,0,0,5,4,61.434226989746094,129.53883361816406,0.988954022526741,0.9891443401575089
201,a couple about to kiss somewhere.,a couple are kissing on new years eve as the ball drops.,the first advises to get ken.,[CLS] couple is introduced on new years eve as the robot goddess.,2,0,0,5,7,309.3760681152344,297.57244873046875,0.9978213950525969,0.9900159880053252
202,a person in an orange shirt reaching up.,a person is reaching up to grab something.,the kid in an orange shirt squeezing up.,another person is normally able to touch something.,2,1,1,3,4,146.1604461669922,104.88330078125,0.8447221405804157,0.971400011330843
203,a big dog catches a ball on his nose,a dog is playing with his owner,a gran dog enjoying a ball on his tail,[CLS] dog is one with his limbs,2,1,1,3,5,215.75369262695312,167.36822509765625,0.6525907795876265,0.9921367447823286
204,an medical worker examines a young girl.,a health worker is evaluating a girl on her sickness.,an aids doctor attendants a young woman.,[CLS] health worker is alive a girl on her surface.,2,1,1,4,5,259.0624694824219,315.3292236328125,0.9547282056882977,0.9880248503759503
205,there is a man poking a long stick up towards the ceiling.,the man has no arms.,there is a man pointing a long neck up to the ground.,[CLS] man has no arms.,0,0,0,4,3,91.8705062866211,61.26963806152344,3.927946090698242e-05,-2.7418136596679688e-06
206,a man with two small boys making a purchase from a woman.,the man with the little boys is buying a gift from the woman's store.,the man with two small boys learning a mission from a woman.,[CLS] man with two little boys is approximately a product from the woman's body.,2,0,1,3,7,77.01923370361328,49.45722961425781,0.9941845952998847,0.8629598915576935
207,a woman standing in front of a large tank at an aquarium turns around to look at the photographer.,a woman wants a new facebook picture of her at the aquarium,a man named in front of a large spotlight at an ambulance dressed up to look out the new.,[CLS] woman managing a new unified glance of her at the aquarium,2,0,1,8,6,113.62494659423828,166.18710327148438,0.9988158388805459,0.9907174672698602
208,a woman standing in front of a wall holding a can of bud light with her shirt tied into a semi - halter.,the woman who is shown lives in the south.,a woman standing in front of a gypsy holding a cup of scandinavia cuisine with her hair tied to a jewel and halter.,[CLS] woman who is lying dead in the stomach.,2,0,0,8,6,83.71652221679688,51.32642364501953,0.9748175865970552,0.9940677410922945
209,a little boy with an orange backpack walks under a tree through the woods.,a boy walks to school through the woods.,"a little girl in an orange bus "" to a girl in the street.",@ boy walks toling through the woods.,2,0,1,8,3,139.69937133789062,79.27603149414062,0.9995940382650588,0.980354375729803
210,a group of people are gathered on a sidewalk in front of a store nearby a littered street.,a group of people are considering whether to shop at the store.,a group of people are put on a dance in front of a fence on a terrorist street.,[CLS] group of people are shown machinery to appear at the store.,2,0,0,5,6,86.17888641357422,51.18349838256836,0.996076836832799,0.996379628428258
211,"a man with a blue, collared shirt sits in front of another man.",a man is looking at his friend,"a man with a leather, pocketed shirt shares in his of buddy man.",[CLS] man is seen at his disposal,2,1,1,5,5,64.5659408569336,146.8758087158203,0.9301699921488762,0.943176381289959
212,"four men in safety gear, one holding a camera, are standing on a platform.",there has been an accident,"two men in tragedy incurred, one holding a camera, one standing on a platform.",destruction has been unknown experience,2,1,0,4,3,251.13650512695312,139.55068969726562,0.9482392705976963,0.9979862843174487
213,two men climbing on a wooden scaffold.,two sad men climbing on a wooden scaffold.,two men danced on a wooden scaffold.,six ordinary men climbing on a wooden scaffold.,2,0,0,1,2,37.034461975097656,55.76236343383789,0.9980460300575942,0.9983610406052321
214,a group of children in costumes are on a stage with red curtains.,a group of children are performing a play,a number of children in opener are on a macbeth with red hair.,[CLS] group of children are physically a costumes,2,1,1,4,5,199.47372436523438,109.57862854003906,0.953321493929252,0.9872227681335062
215,a red truck is parked next to a burning blue building while a man in a green vest runs toward it.,the burning blue building will turn to dust after an hour.,a red logo is parked next to a mickey blue building. a man in a yellow car runs through it.,[CLS] burning green building will turn to earth with an arrow.,2,0,0,6,7,78.530029296875,94.45201110839844,0.8689661771059036,0.8716674000024796
216,a man in a blue jogging suit is running on the sidewalk in front of a painting.,the man is sweating from his run.,a man in a white lung warlord isiated on the floor in front of a puzzle.,[CLS] man is differentiated from his body.,2,1,1,7,5,79.06446838378906,144.106201171875,0.5455396771430969,0.9749311208724976
217,a band performing at a local bar or club.,the band is playing rock music,a modeling version at a local bar or club.,the band is playing music.,2,0,1,2,2,50.8117561340332,157.526123046875,0.6673668999574147,0.9818554790108465
218,a group of people are sight seeing and taking pictures.,the group is on vacation,a number of people are officially returning and taking adventure.,[CLS] group is taken remotely,2,1,1,4,5,225.64004516601562,159.93753051757812,0.8869985397905111,0.9971010740846395
219,"a little boy with a shirt, shorts and socks on, standing on the beach.",a boy is watching the ocean.,"a little boy with a shirt, shorts and socks on, singing on the chorus.",[CLS] boy is inside the car.,2,0,0,2,5,59.652339935302734,63.19278335571289,0.9992177056556102,0.9993518757109996
220,"five people standing on a stage, getting ready to perform, who are unrecognizable due to the lack of lighting.","at a rock concert, the audience screams and cries at the handsome singer and his bass guitarist.","the people participate in a theater, getting ready to dance, but are unrecognizable due to the lack of experience.","[CLS] a live concert, the audience screams and cheers at the famous singer and his backup guitarist.",0,0,0,7,7,55.321739196777344,49.04824447631836,0.00668865442276001,0.005573868751525879
